独具	ADJamodNOUN	特色	5
特色	NOUNobjVERB	形成	5
5	ABOUT	特色	5
的	PARTmark:relclVERB	形成	5
藏书	NOUNnmodNOUN	传统	5
传统	NOUNobjVERB	形成	5
5	ABOUT	传统	5
与	CCONJccNOUN	传统	5
研究	NOUNnmodNOUN	传统	5
传统	NOUNconjNOUN	传统	5
。	PUNCTpunctVERB	形成	5
20	NUMnummodNOUN	世纪	6
世纪	NOUNnmodNOUN	年	6
前	ADPaclNOUN	世纪	6
50	NUMnummodNOUN	年	6
年	NOUNnmod:tmodNOUN	时期	6
，	PUNCTpunctNOUN	时期	6
是	AUXcopNOUN	时期	6
中国	PROPNnmodNOUN	教育	6
教育	NOUNnsubjVERB	学习	6
6	ABOUT	教育	6
向	ADPcasePROPN	西方	6
西方	PROPNoblVERB	学习	6
学习	VERBacl:relclNOUN	时期	6
的	PARTmark:relclVERB	学习	6
时期	NOUN_PREDICATE_OF	6	6
，	PUNCTpunctVERB	开始	6
在	ADPcaseNOUN	背景	6
这样	PRONdetNOUN	背景	6
的	PARTcase:decPRON	这样	6
背景	NOUNoblVERB	开始	6
6	ABOUT	背景	6
下	ADPaclNOUN	背景	6
，	PUNCTpunctVERB	开始	6
中国	PROPNnmodNOUN	现代	6
现代	NOUNnmodNOUN	教 育	6
的	PARTcase:decNOUN	现代	6
图书	NOUNnmodNOUN	教 育	6
馆学	NOUNnmodNOUN	教 育	6
教 育	NOUNnsubjVERB	开始	6
6	ABOUT	教 育	6
开始	VERBparataxisNOUN	时期	6
形成	VERBxcompVERB	开始	6
。	PUNCTpunctVERB	开始	6
20	NUMnummodNOUN	世纪	7
世纪	NOUNnmodNOUN	时间	7
初	ADPaclNOUN	世纪	7
的	PARTcase:decNOUN	世纪	7
一	NUMnummodNOUN	段	7
段	NOUNclfNOUN	时间	7
时间	NOUNnmod:tmodVERB	开设	7
里	ADPaclNOUN	时间	7
，	PUNCTpunctVERB	开设	7
一些	ADJamodNOUN	大学	7
大学	NOUNnsubjVERB	开设	7
7	ABOUT	大学	7
已	ADVadvmodVERB	开设	7
开设	VERB_PREDICATE_OF	7	7
了	PARTcase:aspectVERB	开设	7
一些	ADJamodNOUN	课程	7
图书	NOUNnmodNOUN	课程	7
馆学	NOUNnmodNOUN	课程	7
课程	NOUNobjVERB	开设	7
7	ABOUT	课程	7
，	PUNCTpunctVERB	开设	7
如	VERBparataxisVERB	开设	7
金陵	PROPNnmodNOUN	大学	7
大学	NOUNnsubjVERB	有	7
7	ABOUT	大学	7
在	ADPcaseNOUN	年	7
1913	NUMnummodNOUN	年	7
